Date,Category,Net worth,Assets
1990:Q1,Top1,4804166,4937954
1990:Q1,Next9,7673540,8185951
1990:Q1,Next40,7389240,9002529
1990:Q1,Bottom50,745375,1754951
1990:Q2,Top1,4853012,4990769
1990:Q2,Next9,7817059,8337327
1990:Q2,Next40,7401466,9076700
1990:Q2,Bottom50,768987,1771551
1990:Q3,Top1,4650622,4796349
1990:Q3,Next9,7796971,8325985
1990:Q3,Next40,7476539,9147832
1990:Q3,Bottom50,760551,1807703
1990:Q4,Top1,4896405,5047552
1990:Q4,Next9,7856916,8391995
1990:Q4,Next40,7578682,9304035
1990:Q4,Bottom50,774243,1814823
1991:Q1,Top1,5218517,5372273
1991:Q1,Next9,7910273,8443017
1991:Q1,Next40,7664904,9462264
1991:Q1,Bottom50,872879,1861797
1991:Q2,Top1,5178317,5334449
1991:Q2,Next9,7917859,8467829
1991:Q2,Next40,7711572,9529863
1991:Q2,Bottom50,897371,1904202
1991:Q3,Top1,5283975,5435698
1991:Q3,Next9,7905094,8496083
1991:Q3,Next40,7912976,9667316
1991:Q3,Bottom50,878020,1946758
1991:Q4,Top1,5608407,5759094
1991:Q4,Next9,8007424,8633023
1991:Q4,Next40,8042088,9811143
1991:Q4,Bottom50,921241,2019557
